typer_user,username,score,word_lenght
kk,kk,-19.917301177978516,2
aditi,aditi,-4.641176223754883,3
guest,khushi,-25.863243103027344,2
khushi,khushi,-21.52773666381836,2
kherkher,kher,-4.626370112101237,4
cscs,cs,-27.10647201538086,2
Imposter,kher,-5.470794677734375,4
kher,kher,-4.38796869913737,4
kher,kher,-4.463317235310872,4
kher,kher,-4.339331309000651,4
trial,trial,1.2725495100021362,5
trial,trial,1.1917388439178467,5
